id,name,genres,popularity,followers
7y97mc3bZRFXzT2szRM4L4,Frédéric Chopin,"['classical', 'early romantic era', 'polish classical']",73,3217463
6iqDK7aHVlwGGgPmcdSK5L,Tribbs,"['polish pop', 'polish viral pop']",69,147928
1T4HxOYolAEb5PadIVKdWZ,Gibbs,['polish hip hop'],70,375421
7CJgLPEqiIRuneZSolpawQ,Taco Hemingway,"['polish hip hop', 'polish trap']",69,1453560
0LX2VNf5w4iOHW1yyIqb74,Bedoes 2115,"['polish hip hop', 'polish trap']",69,1500183
6EB8VE9f7Ut6NOgviN6gDW,Dawid Podsiadło,"['polish pop', 'talent show']",65,2044864
0Wi2fADbhwXlPUWxBmzo99,Szpaku,['polish hip hop'],68,784319
1Kjs5u8GQf6zCFdTj6SI9E,Malik Montana,"['polish drill', 'polish hip hop', 'polish trap']",68,1085397
3U5Oag04Yl2WnvPULOlsMD,Kukon,"['polish hip hop', 'polish trap']",68,562717
4nPxrGG7k7aEKmNLsfX4cd,White 2115,"['polish hip hop', 'polish trap']",68,1210712
0TMvoNR0AIJV138mHY6jdE,sanah,"['polish pop', 'polish viral pop']",67,2490365
7v49oVVUhvIQG5EK0jkcF7,PRO8L3M,['polish hip hop'],67,680580
2IHoZ3RrDJIikMRsYgHjhy,Kizo,"['polish hip hop', 'polish trap']",67,1198537
0MIG6gMcQTSvFbKvUwK0id,Mata,"['polish hip hop', 'polish trap']",66,1882248
1fZAAHNWdSM5gqbi9o5iEA,Chivas,"['polish hip hop', 'polish trap']",66,305830
2dLhpezBEgAELn73fiMEak,Jonatan,['polish hip hop'],65,11545
0WDJa0qnagyOnMaiD26wht,Kubi Producent,"['polish hip hop', 'polish trap']",65,215238
6QfFTZJHFSe9Xyes6DkAli,ReTo,"['polish hip hop', 'polish trap']",65,1007706
53UpeT3katrOaJmhSiRp2a,@atutowy,['polish hip hop'],65,18727
5ic8bWWvZHWf0dDBi9ThNk,bambi,"['polish hip hop', 'polish viral pop']",65,105768
1oxn6cQ37twQ7yGnlE3ETd,Oki,['polish hip hop'],64,759307
7afPAbg5jb45KFUSnHIMFG,Lanek,"['polish electronica', 'polish hip hop', 'polish trap']",64,136649
4zvO09rVUIVTeALhs6xLoB,Otsochodzi,"['polish hip hop', 'polish trap']",64,513527
2ufQfSFDFXfMS7MEMzdGZE,Białas,"['polish hip hop', 'polish trap']",64,614301
3gm9b6AeMf2eGQTLashkDt,Deemz,"['polish hip hop', 'polish trap']",63,148228
0iBTVnJ1Sff92zCDujfvyJ,Young Leosia,"['polish hip hop', 'polish pop']",63,340229
1fxbULcd6ryMNc1usHoP0R,Quebonafide,['polish hip hop'],63,1272027
6HdxibJzoNkDUUDHagx3Ko,francis,['polish hip hop'],63,7405
7uWyXPJ04ihdQdYGGw3xVV,Guzior,['polish hip hop'],63,470367
1yq2JzsqbzFbJ1B7wGOXLc,Young Igi,"['polish hip hop', 'polish trap']",63,708741
4Q3xLVaD2uBZGVxmCYuSkt,Kabe,"['polish drill', 'polish hip hop', 'polish trap']",63,313410
0tdKRrbItnLj40yUFi23jx,Daria Zawiałow,"['polish alternative', 'polish indie', 'polish pop']",62,510972
